Run dir: /root/autodl-tmp/hwnas/results/backbone_nksid_av7k325_gpu_formal_structured_20260329_011516
Using device: cuda
Dataset: nksid
Image size: 224
Input channels: 1
Board: ALINX AV7K325 (XC7K325T-2FFG900I) @ 200MHz
[NKSID] 加载完成: 2097 张图片, 8 个类别
  折数: 0, 划分: train
[NKSID] 加载完成: 520 张图片, 8 个类别
  折数: 0, 划分: val
Backbone candidates: ['simplecnn', 'mobilenet_v2_pretrained', 'mobilenet_v2_scratch', 'fbnet_like', 'shufflenet_v2', 'efficientnet_b0']

=== Backbone: SimpleCNN (simplecnn) ===
Complexity: params=106,056, macs=122,913,408, cpu_latency=36.84ms, fpga_latency=7.27ms
Epoch 41/240: train_loss=0.5514, train_acc=0.8264, val_loss=0.3218, val_top1=0.8846, val_macro_f1=0.7819, lr=0.000947
Epoch 42/240: train_loss=0.5410, train_acc=0.8250, val_loss=0.3558, val_top1=0.8635, val_macro_f1=0.7328, lr=0.000944
Epoch 43/240: train_loss=0.5489, train_acc=0.8317, val_loss=0.3975, val_top1=0.8635, val_macro_f1=0.7645, lr=0.000941
Epoch 44/240: train_loss=0.5315, train_acc=0.8240, val_loss=0.4019, val_top1=0.8654, val_macro_f1=0.7473, lr=0.000937
Epoch 45/240: train_loss=0.5372, train_acc=0.8274, val_loss=0.3729, val_top1=0.8788, val_macro_f1=0.7472, lr=0.000934
Epoch 46/240: train_loss=0.5662, train_acc=0.8221, val_loss=0.6571, val_top1=0.7904, val_macro_f1=0.6827, lr=0.000931
Epoch 47/240: train_loss=0.5656, train_acc=0.8255, val_loss=0.3808, val_top1=0.8462, val_macro_f1=0.7157, lr=0.000927
Epoch 48/240: train_loss=0.5110, train_acc=0.8207, val_loss=0.3835, val_top1=0.8692, val_macro_f1=0.7576, lr=0.000924
Epoch 49/240: train_loss=0.5086, train_acc=0.8450, val_loss=0.3961, val_top1=0.8635, val_macro_f1=0.7299, lr=0.000920
Epoch 50/240: train_loss=0.4907, train_acc=0.8307, val_loss=0.3915, val_top1=0.8865, val_macro_f1=0.7898, lr=0.000917
Epoch 51/240: train_loss=0.4820, train_acc=0.8426, val_loss=0.3513, val_top1=0.8808, val_macro_f1=0.7918, lr=0.000913
Epoch 52/240: train_loss=0.5135, train_acc=0.8417, val_loss=0.4089, val_top1=0.8577, val_macro_f1=0.7293, lr=0.000909
Epoch 53/240: train_loss=0.5076, train_acc=0.8364, val_loss=0.4190, val_top1=0.8462, val_macro_f1=0.7713, lr=0.000905
Epoch 54/240: train_loss=0.5183, train_acc=0.8274, val_loss=0.5354, val_top1=0.8269, val_macro_f1=0.6968, lr=0.000902
Epoch 55/240: train_loss=0.5238, train_acc=0.8240, val_loss=0.4183, val_top1=0.8500, val_macro_f1=0.7164, lr=0.000898
Epoch 56/240: train_loss=0.5332, train_acc=0.8255, val_loss=0.3453, val_top1=0.8846, val_macro_f1=0.7695, lr=0.000893
Early stopping at epoch 56

=== Backbone: MobileNetV2 (pretrained) (mobilenet_v2_pretrained) ===
Complexity: params=2,233,544, macs=292,279,168, cpu_latency=116.49ms, fpga_latency=8.51ms
Hardware: DSP=256, BRAM=5, LUT=9862, power=7.63W, feasible=True
Epoch 1/240: train_loss=1.7298, train_acc=0.4802, val_loss=1.8523, val_top1=0.4192, val_macro_f1=0.3558, lr=0.000200
Epoch 2/240: train_loss=1.0618, train_acc=0.6981, val_loss=1.0995, val_top1=0.5096, val_macro_f1=0.4410, lr=0.000360
Epoch 3/240: train_loss=0.6647, train_acc=0.7835, val_loss=0.4591, val_top1=0.8250, val_macro_f1=0.6893, lr=0.000520
Epoch 4/240: train_loss=0.5034, train_acc=0.8455, val_loss=0.5869, val_top1=0.7904, val_macro_f1=0.7001, lr=0.000680
Epoch 5/240: train_loss=0.4411, train_acc=0.8717, val_loss=0.3970, val_top1=0.8365, val_macro_f1=0.7468, lr=0.000840
Epoch 6/240: train_loss=0.3966, train_acc=0.8994, val_loss=0.3783, val_top1=0.8250, val_macro_f1=0.7266, lr=0.001000
Epoch 7/240: train_loss=0.3786, train_acc=0.9013, val_loss=0.2715, val_top1=0.9308, val_macro_f1=0.8617, lr=0.001000
Epoch 8/240: train_loss=0.3508, train_acc=0.9051, val_loss=0.2458, val_top1=0.9231, val_macro_f1=0.8308, lr=0.001000
Epoch 9/240: train_loss=0.2479, train_acc=0.9318, val_loss=0.5472, val_top1=0.9058, val_macro_f1=0.8025, lr=0.001000
Epoch 10/240: train_loss=0.2826, train_acc=0.9285, val_loss=0.2490, val_top1=0.9462, val_macro_f1=0.8767, lr=0.000999
Epoch 11/240: train_loss=0.2787, train_acc=0.9294, val_loss=0.2098, val_top1=0.9192, val_macro_f1=0.8647, lr=0.000999
Epoch 12/240: train_loss=0.2630, train_acc=0.9161, val_loss=0.1654, val_top1=0.9442, val_macro_f1=0.8953, lr=0.000998
Epoch 13/240: train_loss=0.2470, train_acc=0.9304, val_loss=0.2629, val_top1=0.9135, val_macro_f1=0.8464, lr=0.000998
Epoch 14/240: train_loss=0.2537, train_acc=0.9366, val_loss=0.1728, val_top1=0.9462, val_macro_f1=0.9077, lr=0.000997
Epoch 15/240: train_loss=0.1709, train_acc=0.9537, val_loss=0.1097, val_top1=0.9615, val_macro_f1=0.9136, lr=0.000996
Epoch 16/240: train_loss=0.1888, train_acc=0.9537, val_loss=0.2016, val_top1=0.9385, val_macro_f1=0.8426, lr=0.000996
Epoch 17/240: train_loss=0.1064, train_acc=0.9766, val_loss=0.1580, val_top1=0.9481, val_macro_f1=0.8935, lr=0.000995
Epoch 18/240: train_loss=0.1130, train_acc=0.9704, val_loss=0.1345, val_top1=0.9635, val_macro_f1=0.9269, lr=0.000994
Epoch 19/240: train_loss=0.1270, train_acc=0.9733, val_loss=0.1285, val_top1=0.9615, val_macro_f1=0.9125, lr=0.000993
Epoch 20/240: train_loss=0.0999, train_acc=0.9714, val_loss=0.1032, val_top1=0.9788, val_macro_f1=0.9545, lr=0.000991
Epoch 21/240: train_loss=0.1463, train_acc=0.9666, val_loss=0.3060, val_top1=0.8981, val_macro_f1=0.7878, lr=0.000990
Epoch 22/240: train_loss=0.1287, train_acc=0.9628, val_loss=0.1667, val_top1=0.9577, val_macro_f1=0.9184, lr=0.000989
Epoch 23/240: train_loss=0.1245, train_acc=0.9633, val_loss=0.0851, val_top1=0.9750, val_macro_f1=0.9475, lr=0.000987
Epoch 24/240: train_loss=0.2458, train_acc=0.9227, val_loss=0.2254, val_top1=0.9250, val_macro_f1=0.8456, lr=0.000986
Epoch 25/240: train_loss=0.3148, train_acc=0.9285, val_loss=3.5417, val_top1=0.4981, val_macro_f1=0.4869, lr=0.000984
Epoch 26/240: train_loss=0.2075, train_acc=0.9232, val_loss=0.2047, val_top1=0.9423, val_macro_f1=0.8864, lr=0.000982
Epoch 27/240: train_loss=0.3964, train_acc=0.8732, val_loss=0.4395, val_top1=0.8808, val_macro_f1=0.7639, lr=0.000981
Epoch 28/240: train_loss=0.2347, train_acc=0.9051, val_loss=0.1514, val_top1=0.9462, val_macro_f1=0.8682, lr=0.000979
Epoch 29/240: train_loss=0.1236, train_acc=0.9676, val_loss=0.1322, val_top1=0.9577, val_macro_f1=0.9128, lr=0.000977
Epoch 30/240: train_loss=0.1332, train_acc=0.9633, val_loss=0.1580, val_top1=0.9481, val_macro_f1=0.8557, lr=0.000975
Epoch 31/240: train_loss=0.1283, train_acc=0.9652, val_loss=0.1317, val_top1=0.9654, val_macro_f1=0.9238, lr=0.000973
Epoch 32/240: train_loss=0.0994, train_acc=0.9700, val_loss=0.1518, val_top1=0.9577, val_macro_f1=0.9147, lr=0.000970
Epoch 33/240: train_loss=0.1229, train_acc=0.9638, val_loss=0.1510, val_top1=0.9615, val_macro_f1=0.9121, lr=0.000968
Epoch 34/240: train_loss=0.1234, train_acc=0.9671, val_loss=0.1292, val_top1=0.9596, val_macro_f1=0.9153, lr=0.000966
Epoch 35/240: train_loss=0.0679, train_acc=0.9804, val_loss=0.1073, val_top1=0.9673, val_macro_f1=0.9326, lr=0.000963
Epoch 36/240: train_loss=0.0583, train_acc=0.9833, val_loss=0.0747, val_top1=0.9808, val_macro_f1=0.9542, lr=0.000961
Epoch 37/240: train_loss=0.0972, train_acc=0.9762, val_loss=0.1648, val_top1=0.9538, val_macro_f1=0.9098, lr=0.000958
Epoch 38/240: train_loss=0.0810, train_acc=0.9771, val_loss=0.1279, val_top1=0.9731, val_macro_f1=0.9405, lr=0.000955
Epoch 39/240: train_loss=0.0642, train_acc=0.9771, val_loss=0.1128, val_top1=0.9731, val_macro_f1=0.9457, lr=0.000953
